DIRECTORIO;SECUENCIA_P;ORDEN;ESTRATEGIAS;EST_RADIO;EST_TELEVISION;EST_PLATAFORMAS;EST_GUIAS;EST_VISITA;EST_LLAMADA;ESCUCHA_RADIO;P1077S7;P1077S8;P1075;P1077S21;P1077S22;P1077S23;CELULAR_INTELIGENTE;P5305;CELULAR
7247476;1;4;2; ; ; ; ; ; ;2;1;2;1;1;2;2;1;2;1
7247484;1;3;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7247490;1;3;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7247491;1;3;1;1;2;1;1;2;1;2;1;2;1;2;1;1;1;2;1
7247491;1;4;1;1;2;1;1;2;1;2;1;2;1;2;1;1;1;2;1
7247493;1;5;1;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;1
7247494;1;3;2; ; ; ; ; ; ;2;2;2;2;2;2;2;1;2;1
7247495;1;5;2; ; ; ; ; ; ;1;2;1;1;2;2;2;1;2;1
7247495;1;6;1;2;2;2;1;2;2;1;2;1;1;2;2;2;1;2;1
7247495;1;7;2; ; ; ; ; ; ;1;2;1;1;2;2;2;1;2;1
7247497;1;3;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247501;1;2;2; ; ; ; ; ; ;1;2;1;1;2;2;2;1;2;1
7247501;1;3;2; ; ; ; ; ; ;1;2;1;1;2;2;2;1;2;1
7247501;1;7;2; ; ; ; ; ; ;1;2;1;1;2;2;2;1;2;1
7247502;1;3;1;1;2;1;1;2;2;2;1;2;2;2;2;1;1;2;1
7247504;1;5;1;1;2;1;1;2;2;1;2;1;2;2;2;2;1;2;1
7247504;1;6;1;1;2;1;1;2;2;1;2;1;2;2;2;2;1;2;1
7247505;1;2;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7247505;1;3;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7247505;1;4;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7247509;1;4;1;1;2;1;1;2;2;1;1;2;1;2;2;2;1;2;1
7247509;1;7;1;2;2;2;1;2;2;1;1;2;1;2;2;2;1;2;1
7247510;1;4;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247510;1;5;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7247512;1;3;1;2;2;1;1;2;2;1;1;2;1;2;2;2;1;2;1
7247515;1;3;1;1;2;1;1;2;2;1;1;2;1;2;2;1;1;2;1
7247515;1;4;1;1;2;1;1;2;2;1;1;2;1;2;2;1;1;2;1
7247519;1;4;1;2;2;1;1;2;2;1;1;2;1;2;2;2;1;2;1
7247522;1;2;1;1;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1
7247527;1;4;1;2;2;1;1;2;2;2;2;1;2;2;1;2;1;2;1
7247531;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;2;1;2;1
7247532;1;3;1;2;2;1;1;2;2;2;2;1;1;2;1;2;1;2;1
7247533;1;3;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7247536;1;3;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7247538;1;3;1;2;2;2;1;2;2;2;2;1;1;2;2;1;1;1;1
