DIRECTORIO;SECUENCIA_P;ORDEN;ESTRATEGIAS;EST_RADIO;EST_TELEVISION;EST_PLATAFORMAS;EST_GUIAS;EST_VISITA;EST_LLAMADA;ESCUCHA_RADIO;P1077S7;P1077S8;P1075;P1077S21;P1077S22;P1077S23;CELULAR_INTELIGENTE;P5305;CELULAR
7330792;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;2;1;2;1
7330793;1;2;1;2;2;1;1;2;2;2;2;1;1;1;2;2;1;2;1
7330793;1;3;2; ; ; ; ; ; ;2;2;1;1;1;2;2;1;2;1
7330794;1;3;1;1;1;1;1;2;2;2;2;1;1;1;2;2;1;2;1
7330796;1;4;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1
7330797;1;3;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7330799;1;2;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7330799;1;3;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7330800;1;2;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7330801;1;4;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7330802;1;3;1;1;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7330802;1;4;1;1;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7330803;1;3;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7330803;1;4;1;1;1;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7330805;1;4;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7330805;1;5;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7330805;1;6;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7330805;1;7;1;1;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7330807;1;3;1;2;2;2;1;2;2;1;1;2;2;2;2;2;1;2;1
7330808;1;3;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7330811;1;3;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;2;1
7330812;1;3;1;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;1
7330814;1;3;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7330814;1;4;1;2;1;2;2;2;2;2;1;2;2;2;2;2;1;2;1
7330814;1;6;1;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;1
7330816;1;3;1;1;1;1;1;2;2;2;1;2;2;2;1;2;1;2;1
7330824;1;4;2; ; ; ; ; ; ;2;2;2;2;2;2;2;1;2;1
7330824;1;9;2; ; ; ; ; ; ;2;2;2;2;2;2;2;1;2;1
7330826;1;3;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330829;1;4;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330836;1;3;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330836;1;4;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7330836;1;5;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330836;1;6;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330837;1;3;1;2;2;2;1;2;2;1;2;1;2;2;2;2;1;2;1
7330842;1;2;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7330843;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2
7330844;1;2;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2
7330845;1;3;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330850;1;4;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7330855;1;4;1;2;1;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7330855;1;5;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7330864;1;3;1;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;1
7330864;1;4;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7330864;1;5;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7330864;1;6;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7330867;1;3;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330868;1;2;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7330870;1;4;2; ; ; ; ; ; ;2;1;2;2;2;2;2;2;2;1
7330873;1;3;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1
7330873;1;4;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1
7330875;1;4;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330875;1;5;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330876;1;4;2; ; ; ; ; ; ;2;1;2;2;2;2;2;2;2;1
7330879;1;4;1;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2
7330879;1;5;1;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2
7330879;1;6;1;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2
7330879;1;7;1;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2
7330883;1;3;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7330883;1;4;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7330883;1;5;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330885;1;3;2; ; ; ; ; ; ;2;1;2;2;2;2;2;2;2;2
7330887;1;3;2; ; ; ; ; ; ;2;2;1;2;2;2;2;2;2;1
7330887;1;4;1;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;1
7330887;1;5;2; ; ; ; ; ; ;2;2;1;2;2;2;2;2;2;1
7330888;1;3;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7330888;1;4;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7330890;1;4;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330890;1;5;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330890;1;6;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7330896;1;3;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330896;1;4;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330897;1;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330901;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2
7330901;1;3;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2
7330901;1;4;2; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2
7330902;1;4;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7330902;1;5;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7330904;1;3;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7330904;1;4;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7330904;1;5;1;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7330904;1;6;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7330911;1;3;2; ; ; ; ; ; ;2;2;1;2;2;2;2;2;2;1
7330911;1;4;1;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;1
7330912;1;3;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7330912;1;4;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330913;1;5;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7330918;1;3;1;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1
7330922;1;3;2; ; ; ; ; ; ;2;2;1;1;2;1;2;1;2;1
7330923;1;3;1;2;2;2;1;2;2;2;2;1;1;2;1;2;1;2;1
7330925;1;3;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7330926;1;5;2; ; ; ; ; ; ;1;2;2;2;2;2;2;2;2;2
7330926;1;6;2; ; ; ; ; ; ;1;2;2;2;2;2;2;2;2;2
7330931;1;3;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2
7330931;1;4;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2
7330933;1;3;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7330933;1;4;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7330940;1;5;1;2;2;1;1;2;2;1;2;1;1;1;1;1;1;1;1
7330944;1;3;1;1;2;1;1;2;2;1;2;1;1;2;2;2;1;2;1
7330950;1;3;1;2;2;1;1;2;2;2;2;1;1;2;2;1;1;2;1
7330951;1;2;1;2;1;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7330952;1;4;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7330952;1;5;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7330954;1;3;1;2;1;1;1;2;2;1;2;1;1;2;1;2;1;2;1
7330960;1;3;2; ; ; ; ; ; ;2;2;1;1;2;1;1;1;1;1
7330960;1;4;1;2;2;1;1;2;2;2;2;1;1;2;1;1;1;1;1
7330963;1;5;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7330966;1;5;1;2;2;1;1;2;2;2;2;1;1;1;1;2;1;1;1
7330966;1;6;1;2;2;1;1;2;2;2;2;1;1;1;1;2;1;1;1
7330975;1;3;1;2;2;1;1;2;1;1;2;1;1;2;1;2;1;2;1
7330989;1;3;1;2;2;1;1;2;2;2;2;1;1;2;1;1;1;1;1
7330993;1;4;1;2;2;1;1;2;2;1;2;1;1;1;2;2;1;1;1
7330994;1;4;2; ; ; ; ; ; ;2;2;1;1;1;2;2;1;1;1
7330996;1;4;1;2;2;1;1;2;2;2;2;1;1;1;1;2;1;1;1
7330998;1;3;2; ; ; ; ; ; ;2;2;1;1;2;1;2;1;2;1
7331009;1;3;1;2;2;1;1;2;2;2;1;1;1;2;2;2;1;1;1
7331010;1;2;2; ; ; ; ; ; ;1;2;1;1;1;2;2;1;2;1
7331012;1;3;1;2;2;1;1;2;2;2;2;1;1;2;1;2;1;1;1
7331012;1;4;1;2;2;1;1;2;2;2;2;1;1;2;1;2;1;1;1
7331017;1;3;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7331021;1;4;1;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1
7331021;1;5;2; ; ; ; ; ; ;2;2;2;2;2;2;2;1;2;1
7331022;1;3;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7331028;1;2;2; ; ; ; ; ; ;2;1;2;1;2;2;2;1;2;1
7331028;1;3;2; ; ; ; ; ; ;2;1;2;1;2;2;2;1;2;1
7331028;1;4;2; ; ; ; ; ; ;2;1;2;1;2;2;2;1;2;1
7331031;1;4;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7331032;1;6;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7331032;1;7;2; ; ; ; ; ; ;2;2;1;1;2;2;2;1;2;1
7331033;1;4;1;2;2;1;2;2;2;1;2;1;1;2;1;2;1;2;1
7331033;1;5;1;2;2;1;1;2;2;1;2;1;1;2;1;2;1;2;1
7331033;1;6;2; ; ; ; ; ; ;1;2;1;1;2;1;2;1;2;1
7331033;2;3;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7331033;2;4;2; ; ; ; ; ; ;2;2;1;1;2;2;2;1;2;1
7331034;1;3;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7331034;1;4;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7331035;1;4;1;2;2;1;1;2;2;2;1;1;2;2;2;2;1;2;1
7331035;1;6;1;2;2;1;1;2;2;2;1;1;2;2;2;2;1;2;1
7331036;1;5;2; ; ; ; ; ; ;1;2;1;2;2;1;2;1;2;1
7331040;1;5;1;2;2;1;2;2;2;2;1;1;1;2;1;2;1;1;1
7331040;1;9;1;2;2;1;1;2;2;1;1;1;1;2;1;2;1;1;1
7331043;1;2;2; ; ; ; ; ; ;2;2;2;1;2;2;2;1;2;1
7331043;1;3;2; ; ; ; ; ; ;2;2;2;1;2;2;2;1;2;1
7331044;1;2;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7331045;1;2;1;2;2;1;1;2;2;2;2;2;2;2;2;1;1;2;1
7331046;1;3;2; ; ; ; ; ; ;2;2;1;1;2;1;2;1;1;1
7331048;1;4;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7331048;1;5;2; ; ; ; ; ; ;2;1;2;1;2;2;2;1;2;1
7331048;1;6;2; ; ; ; ; ; ;2;1;2;1;2;2;2;1;2;1
7331056;1;4;2; ; ; ; ; ; ;2;2;1;1;2;1;2;1;2;1
7331058;1;4;2; ; ; ; ; ; ;2;1;2;1;2;1;2;1;2;1
7331058;1;5;2; ; ; ; ; ; ;2;1;2;1;2;1;2;1;2;1
7331067;1;3;1;2;2;1;1;2;2;2;2;1;1;1;2;2;1;1;1
7331067;1;4;1;2;2;1;1;2;2;2;2;1;1;1;2;2;1;1;1
7331068;1;4;1;2;2;1;1;2;1;2;2;1;1;1;1;2;1;1;1
7331073;1;2;1;2;2;1;1;2;2;2;2;1;1;1;2;2;1;2;1
7331077;1;2;1;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;1
7331084;1;2;1;2;2;1;1;2;2;1;2;1;1;2;2;1;1;2;1
7331092;1;3;1;2;2;1;1;2;1;2;1;2;2;2;2;1;1;2;1
7331092;1;4;1;2;2;2;1;2;2;2;1;2;2;2;2;1;1;2;1
7331098;1;3;1;2;2;1;1;2;2;1;1;2;1;2;2;2;1;2;1
7331107;1;3;1;2;2;1;1;2;1;2;2;1;1;2;2;1;1;2;1
7331109;1;2;1;2;2;1;1;2;1;1;2;1;2;2;2;1;2;2;1
7331110;1;3;1;2;2;1;1;2;1;1;1;2;1;2;2;2;1;2;1
7331110;1;5;1;2;2;1;1;2;1;2;1;2;1;2;2;2;1;2;1
7331111;1;3;1;2;2;1;1;2;1;2;1;2;2;2;2;1;2;2;1
7331114;1;3;2; ; ; ; ; ; ;2;1;2;1;2;2;2;1;2;1
7331114;1;4;1;2;2;1;1;2;1;2;1;2;1;2;2;2;1;2;1
7331125;1;4;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7331133;1;4;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7331134;1;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;2;1
7331135;1;3;1;2;2;2;1;2;2;1;2;1;1;2;2;2;1;2;1
7331136;1;3;1;2;2;1;1;2;2;2;1;2;1;1;2;2;1;2;1
7331136;1;4;1;2;2;2;1;2;2;2;1;2;1;1;2;2;1;2;1
7331137;1;4;1;2;1;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7331138;1;2;1;2;2;1;1;2;2;1;2;1;1;2;2;2;1;2;1
7331141;1;2;2; ; ; ; ; ; ;1;1;2;1;2;2;2;1;2;1
7331150;1;3;2; ; ; ; ; ; ;1;2;1;2;2;2;2;1;2;1
7331150;1;4;1;2;2;1;2;2;2;1;2;1;2;2;2;2;1;2;1
7331151;1;2;2; ; ; ; ; ; ;2;1;2;1;1;2;2;1;2;1
7331153;1;3;1;2;2;1;2;2;2;2;1;2;1;1;2;2;1;2;1
7331157;1;2;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7331157;1;3;1;2;2;1;2;2;2;2;1;2;1;2;2;2;1;2;1
7331157;1;4;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7331158;1;4;1;2;2;1;1;2;2;2;1;2;1;1;2;2;1;2;1
7331163;1;4;2; ; ; ; ; ; ;2;2;1;1;2;1;2;1;2;1
7331175;1;3;1;2;2;1;1;2;2;2;1;1;1;2;2;2;1;2;1
7331177;1;4;1;2;2;1;1;2;2;2;2;1;1;1;1;2;1;1;1
7331178;1;3;1;2;2;1;1;2;2;2;2;1;1;1;1;2;1;2;1
7331178;1;4;1;2;2;1;1;2;2;2;2;1;1;1;1;2;1;2;1
7331182;1;4;1;2;2;1;1;2;2;2;2;2;1;2;2;2;1;2;1
7331185;1;3;1;2;2;1;1;2;2;1;2;1;1;2;1;2;1;2;1
7331191;1;3;1;2;2;1;2;2;2;2;2;1;1;1;1;2;1;2;1
7331192;1;2;1;2;2;1;2;2;2;2;2;1;1;2;2;1;1;2;1
7331211;1;2;2; ; ; ; ; ; ;1;1;2;2;2;2;2;1;2;1
7331220;1;4;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7331222;1;3;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7331223;1;3;2; ; ; ; ; ; ;2;1;2;1;2;2;2;1;2;1
7331236;1;4;1;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1
7331240;1;3;1;2;2;1;1;2;2;1;2;1;2;2;2;2;1;2;1
7331241;1;4;1;2;2;1;1;2;2;1;2;1;1;2;2;2;1;2;1
7331254;1;3;1;2;2;1;1;2;2;1;2;1;1;1;2;1;1;2;1
7331261;1;3;1;2;2;1;1;2;2;2;1;1;1;1;2;2;1;2;1
7331271;1;3;1;2;2;1;2;2;2;1;1;2;2;2;2;2;1;2;1
7331274;1;3;1;2;2;1;1;2;2;1;1;1;1;2;1;2;1;1;1
7331274;1;4;1;2;2;1;1;2;2;1;1;1;1;2;1;2;1;1;1
7331275;1;2;1;2;2;1;2;2;2;2;1;2;1;2;2;2;1;2;1
7331275;1;3;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7331275;1;4;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7331275;1;5;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7331276;1;3;1;2;2;1;1;2;2;1;2;1;1;2;2;2;1;2;1
7331278;1;4;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7331281;1;3;1;2;2;1;1;2;2;1;2;1;1;1;2;2;1;2;1
7331281;1;4;1;2;2;1;1;2;2;1;2;1;1;1;2;2;1;2;1
7331281;1;5;1;2;2;1;1;2;2;1;2;1;1;1;2;2;1;2;1
7331283;1;4;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7331285;1;2;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7331287;1;3;2; ; ; ; ; ; ;2;2;1;1;2;1;2;1;2;1
7331296;1;4;1;2;2;2;1;2;1;2;1;2;1;2;2;1;1;2;1
7331307;1;3;1;2;2;1;1;2;2;1;1;2;1;2;2;1;1;2;1
7331307;1;4;1;2;2;1;1;2;2;1;1;2;1;2;2;1;1;2;1
7331307;1;5;2; ; ; ; ; ; ;1;1;2;1;2;2;1;1;2;1
7331309;1;3;1;2;2;1;1;2;2;1;1;2;2;2;2;1;1;2;1
7331309;1;4;1;2;2;1;2;2;2;1;1;2;2;2;2;1;1;2;1
7331317;1;2;2; ; ; ; ; ; ;2;1;2;1;2;2;1;1;2;1
7331317;1;5;2; ; ; ; ; ; ;2;1;2;1;2;2;1;1;2;1
7331318;1;3;1;2;2;1;1;2;2;2;2;1;1;1;1;2;1;1;1
7331321;1;5;1;2;2;1;1;2;2;2;1;1;1;1;1;2;1;1;1
7331321;1;6;1;2;2;1;1;2;2;2;1;1;1;1;1;2;1;1;1
7331326;1;3;1;2;2;1;1;2;2;2;1;1;1;1;2;2;1;1;1
7331327;1;3;1;2;2;1;1;2;2;1;2;1;1;2;2;1;1;2;1
7331338;1;3;1;2;2;2;1;2;2;1;2;1;1;2;2;2;1;2;1
7331342;1;3;2; ; ; ; ; ; ;1;2;1;1;2;2;2;1;2;1
7331342;1;4;1;1;2;1;1;2;2;1;2;1;1;2;2;2;1;2;1
7331343;1;3;1;2;2;1;1;2;2;2;2;1;1;1;2;2;1;1;1
7331345;1;2;1;2;2;1;1;2;2;1;2;1;1;1;2;2;1;2;1
7331345;1;3;1;2;2;2;1;2;2;1;2;1;1;1;2;2;1;2;1
7331355;1;3;1;2;2;2;1;2;2;1;2;1;1;1;2;2;1;2;1
7331355;1;4;1;2;2;2;1;2;2;1;2;1;1;1;2;2;1;2;1
7331356;1;3;1;2;2;2;1;2;2;1;2;1;1;2;1;2;1;2;1
7331358;1;3;2; ; ; ; ; ; ;2;2;1;2;2;1;2;1;2;1
7331358;1;4;1;2;2;2;1;2;2;2;2;1;2;2;1;2;1;2;1
7331361;1;2;1;2;2;1;1;2;2;1;2;1;2;2;2;2;1;2;1
7331362;1;4;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7331364;1;3;1;2;2;1;1;2;2;1;2;2;1;2;1;2;1;2;1
7331364;1;4;1;2;2;1;1;2;1;2;2;2;1;2;1;2;1;2;1
7331376;1;2;1;2;2;1;1;2;2;1;1;2;2;2;2;2;1;2;1
7331378;1;3;2; ; ; ; ; ; ;2;2;1;1;1;2;1;1;2;1
7331378;1;4;1;2;2;1;1;2;2;1;2;1;1;1;2;1;1;2;1
7331379;1;3;1;2;2;1;1;2;2;1;2;1;1;2;1;2;1;2;1
7331381;1;5;2; ; ; ; ; ; ;1;1;2;1;1;2;2;1;2;1
7331399;1;4;2; ; ; ; ; ; ;2;2;1;1;2;2;2;1;2;1
7331405;1;4;1;2;2;1;1;2;2;1;2;1;1;2;2;2;1;2;1
7331415;1;2;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7331419;1;3;1;2;2;2;1;2;2;1;1;2;1;2;2;1;1;2;1
7331420;1;2;1;2;2;1;1;2;2;1;1;2;2;2;2;2;1;2;1
7331420;1;3;1;2;2;1;1;2;2;1;1;2;2;2;2;2;1;2;1
7331425;1;2;2; ; ; ; ; ; ;1;2;2;2;2;2;2;1;2;1
7331425;1;3;2; ; ; ; ; ; ;2;2;2;2;2;2;2;1;2;1
7331429;1;2;1;2;2;1;1;2;2;1;2;2;2;2;2;2;1;2;1
7331431;1;3;1;2;2;1;1;2;2;1;1;2;2;2;2;2;1;2;1
7331448;1;4;1;2;2;1;1;2;2;1;1;2;1;2;2;2;1;2;1
7331448;1;5;2; ; ; ; ; ; ;1;1;2;1;2;2;2;1;2;1
7331460;1;3;1;2;2;1;1;2;2;1;1;2;2;2;2;2;2;2;1
7331460;1;4;2; ; ; ; ; ; ;1;1;2;2;2;2;2;2;2;1
7331460;1;5;1;2;2;1;1;2;2;1;1;2;2;2;2;2;2;2;1
7331471;1;3;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7331473;1;3;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7331474;1;3;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7331474;1;4;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7331477;1;2;1;2;2;1;1;2;2;1;1;2;2;2;2;2;1;2;1
7331480;1;2;1;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7331486;1;3;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7331491;1;3;1;1;1;1;2;2;2;1;1;2;2;2;2;2;1;2;1
7331494;1;3;1;2;2;1;1;2;2;2;2;1;1;1;2;2;1;2;1
7331494;1;4;2; ; ; ; ; ; ;2;2;1;1;1;2;2;1;2;1
7331496;1;3;1;2;2;1;1;2;2;1;2;1;2;2;2;2;1;2;1
7331497;1;3;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;1
7331499;1;2;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7331501;1;3;1;2;2;1;1;2;2;1;2;1;1;2;1;2;1;2;1
7331501;1;4;1;2;2;1;1;2;2;1;2;1;1;2;1;2;1;2;1
7331502;1;3;1;1;1;1;2;2;2;1;2;1;1;1;2;2;1;2;1
7331505;1;4;1;2;2;1;1;2;2;1;2;1;2;2;2;2;1;2;1
7331509;1;3;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7331510;1;3;1;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;1
7331510;1;4;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7331511;1;3;2; ; ; ; ; ; ;1;1;2;1;2;1;2;1;2;1
7331512;1;4;1;2;2;2;1;2;2;1;2;1;1;2;1;2;1;2;1
7331514;1;2;2; ; ; ; ; ; ;1;2;1;1;2;1;2;1;2;1
7331535;1;4;2; ; ; ; ; ; ;1;2;1;1;2;1;2;1;2;1
7331544;1;4;1;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;1
7331545;1;3;1;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;1
7331547;1;4;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7331547;1;5;1;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;1
7331548;1;4;1;2;2;2;1;2;2;1;2;1;2;2;2;2;1;2;1
7331554;1;4;1;2;2;2;1;2;2;1;1;2;2;2;2;2;1;2;1
7331555;1;5;1;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;1
7331557;1;3;2; ; ; ; ; ; ;1;1;2;2;2;2;2;1;2;1
7331558;1;4;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7331560;1;7;1;2;2;2;1;2;2;2;2;1;1;2;1;2;1;2;1
7331564;1;2;1;2;2;1;1;2;2;1;2;1;2;2;2;2;1;2;1
7331564;1;3;1;2;2;2;1;2;2;1;2;1;2;2;2;2;1;2;1
7331566;1;2;1;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;1
7331566;1;3;2; ; ; ; ; ; ;2;1;2;2;2;2;2;2;2;1
7331567;1;3;1;2;2;2;1;2;2;1;1;2;2;2;2;2;1;2;1
7331567;1;4;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7331572;1;3;1;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;1
7331577;1;3;1;2;2;2;1;2;1;2;1;2;2;2;2;2;1;2;1
7331578;1;2;1;2;2;2;1;2;1;2;1;2;2;2;2;2;2;2;1
7331578;1;3;1;2;2;2;1;2;1;2;1;2;2;2;2;2;2;2;1
7331578;1;4;1;2;2;2;1;2;1;2;1;2;2;2;2;2;2;2;1
7331579;1;5;1;2;2;2;1;2;1;1;1;2;2;2;2;2;1;2;1
7331585;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;1
7331585;1;4;1;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;1
7331590;1;2;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7331590;1;3;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7331597;1;2;1;1;2;2;2;2;2;2;1;2;1;1;2;2;1;1;1
7331597;1;3;1;2;2;1;1;2;2;2;1;2;1;1;2;2;1;1;1
7331597;1;4;1;2;2;1;1;2;2;2;1;2;1;1;2;2;1;1;1
7331598;1;5;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;1
7331616;1;2;2; ; ; ; ; ; ;1;2;2;2;2;2;2;1;2;1
7331620;1;3;1;2;2;1;2;2;2;2;1;2;1;1;2;2;1;2;1
7331620;1;4;1;2;2;1;2;2;2;2;1;2;1;1;2;2;1;2;1
7331634;1;4;1;1;2;1;1;2;2;1;2;1;2;2;2;2;1;2;1
7331635;1;3;1;1;2;1;1;2;2;2;2;1;1;2;1;2;1;2;1
7331636;1;3;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7331636;1;4;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7331638;1;3;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1
7331638;1;4;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1
